Year,Rainfall,Temperature
1855,541.9,17.3
1856,756.1000000000004,19.0
1857,734.5999999999997,19.8
1858,662.5000000000008,20.2
1859,556.3000000000001,19.4
1860,646.2000000000003,19.6
1861,741.8,19.4
1862,562.0000000000003,19.8
1863,926.3999999999996,19.3
1864,697.4999999999993,19.2
1865,405.20000000000033,19.6
1866,570.4000000000004,20.3
1867,656.3000000000002,20.0
1868,464.9000000000006,20.2
1869,626.4,19.9
1870,858.9999999999998,19.9
1871,767.7000000000003,20.3
1872,826.8999999999995,20.1
1873,652.1,20.2
1874,721.6999999999997,19.4
1875,835.5999999999989,19.4
1876,612.8,19.8
1877,613.4000000000001,19.7
1878,644.9999999999994,19.6
1879,488.5000000000006,19.1
1880,724.4999999999994,19.4
1881,613.6000000000004,19.5
1882,569.3000000000001,19.8
1883,603.7000000000003,20.0
1884,657.7000000000002,19.3
1885,685.3000000000002,19.0
1886,610.9000000000004,19.1
1887,824.3999999999996,19.0
1888,468.50000000000057,19.3
1889,717.1000000000001,19.5
1890,617.1000000000005,19.8
1891,679.7,19.1
1892,635.7000000000005,18.9
1893,683.0,19.3
1894,575.9000000000002,19.7
1895,434.8000000000008,20.1
1896,641.2999999999996,19.4
1897,657.8000000000002,19.4
1898,397.1000000000004,20.5
1899,733.6999999999994,19.7
1900,714.7999999999995,19.1
1901,698.3,19.4
1902,588.6000000000007,19.4
1903,723.4,19.3
1904,755.5999999999993,19.2
1905,653.2000000000003,18.9
1906,567.1000000000004,19.6
1907,566.7000000000007,19.4
1908,451.6000000000003,19.9
1909,658.3000000000002,18.9
1910,626.8000000000003,19.9
1911,930.6999999999989,19.2
1912,518.5000000000006,19.6
1913,539.7000000000007,19.3
1914,473.10000000000053,20.4
1915,533.2000000000005,19.4
1916,967.4999999999999,19.1
1917,777.6999999999999,19.0
1918,690.9000000000002,19.6
1919,633.8000000000004,20.2
1920,720.1000000000001,19.3
1921,757.2999999999993,20.1
1922,637.0000000000003,19.7
1923,575.9000000000005,19.5
1924,927.799999999999,18.6
1925,447.7000000000008,19.3
1926,521.8000000000009,20.1
1927,458.30000000000047,19.9
1928,613.7,20.2
1929,733.2999999999996,19.2
1930,647.3000000000002,20.3
1931,728.4999999999993,19.1
1932,791.2999999999993,19.3
1933,566.9000000000003,19.8
1934,853.2999999999995,20.1
1935,762.5999999999992,19.5
1936,618.9999999999999,19.9
1937,546.2000000000004,20.0
1938,448.7000000000006,20.7
1939,842.2999999999998,19.9
1940,505.00000000000057,20.6
1941,808.5999999999999,19.6
1942,757.8999999999999,20.0
1943,478.20000000000056,19.2
1944,543.2000000000005,19.8
1945,489.70000000000056,19.4
1946,757.8999999999993,19.0
1947,775.2999999999997,20.1
1948,534.0000000000006,19.5
1949,798.5,18.6
1950,666.8000000000001,19.9
1951,759.4999999999991,20.1
1952,874.8999999999993,19.3
1953,721.9,20.0
1954,853.0,19.9
1955,780.5999999999996,19.8
1956,786.9999999999994,19.4
1957,530.3000000000004,20.0
1958,686.5,19.2
1959,657.3,20.4
1960,851.8999999999996,19.8
1961,562.1000000000006,21.3
1962,586.9000000000001,20.3
1963,738.9999999999998,20.0
1964,707.2999999999996,19.2
1965,591.3000000000003,19.9
1966,682.2000000000002,19.5
1967,332.30000000000024,20.0
1968,533.3000000000006,20.1
1969,625.6999999999998,19.6
1970,804.3999999999996,19.4
1971,780.4000000000002,19.9
1972,566.8000000000004,20.2
1973,818.2999999999992,19.7
1974,803.5,19.7
1975,709.7999999999997,19.8
1976,503.9,19.6
1977,605.0000000000003,19.5
1978,867.0000000000002,19.2
1979,543.1999999999998,20.3
1980,644.1999999999999,20.4
1981,602.1999999999999,20.5
1982,422.2,20.5
1983,611.9999999999999,19.6
1984,564.8000000000001,19.6
1985,678.1999999999999,19.9
1986,527.5999999999998,19.2
1987,655.0,19.7
1988,678.5999999999993,20.8
1989,792.7999999999998,20.1
1990,625.2,20.4
1991,720.5999999999999,20.1
1992,829.7999999999997,19.5
1993,844.0,20.4
1994,471.79999999999984,20.2
1995,802.9999999999997,19.4
1996,777.0000000000001,19.6
1997,359.79999999999995,20.7
1998,584.9999999999999,20.6
1999,610.3999999999997,20.9
2000,629.5999999999999,21.0
2001,605.2,20.5
2002,396.5999999999999,20.9
2003,492.99999999999983,20.7
2004,622.1999999999997,20.4
2005,590.0000000000001,21.4
2006,438.3999999999998,20.8
2007,448.39999999999964,21.8
2008,449.39999999999975,20.9
2009,464.80000000000007,21.6
2010,780.5999999999999,21.0
2011,832.3999999999996,20.8
2012,601.1999999999998,20.8
2013,640.9999999999997,21.4
2014,472.7999999999997,21.7
2015,439.1999999999996,20.4
2016,599.6000000000003,20.3
2017,601.9999999999997,20.9
2018,514.3999999999996,20.7
2019,374.40000000000003,20.8
2020,786.8000000000001,19.9
